GeneSymbol;logFC;AveExpr;t;P.Value;adj.P.Val;B;ProbeID
IGFALS;-0.229652716;4.726286101;-3.095363807;0.00261587;0.011541732;-2.113085318;7998601
IGFBP1;0.03595096;4.100308264;0.60905118;0.544015734;0.677473481;-6.451357783;8132694
IGFBP2;-0.780235747;6.198026935;-4.067853027;0.000101158;0.000837013;0.906186829;8048205
IGFBP3;0.935661032;5.993922867;7.522910823;3.77E-11;6.01E-09;15.1074543;8139488
IGFBP4;-0.232333477;7.737083719;-2.315128728;0.02286633;0.064547577;-4.048753766;8007100
IGFBP5;1.34693136;8.255793967;5.246717508;1.01E-06;2.01E-05;5.280617455;8058857
IGFBP6;0.182372002;5.563853619;1.474044021;0.143938307;0.264976086;-5.568456296;7955694
IGFBP7;0.430939644;8.446100646;3.722589511;0.000342175;0.002241999;-0.235204248;8100541
IGFBPL1;-0.213486604;4.200576969;-3.238293941;0.001681529;0.008065012;-1.708824495;8161265
IGFL1;0.09872374;3.652226902;1.611104426;0.11063786;0.217634532;-5.363790632;8029779
IGFL2;1.431983283;3.999627343;7.974949137;4.44E-12;1.16E-09;17.17725731;8029773
IGFL3;0.122933391;2.804020235;2.077175737;0.04061795;0.101237856;-4.541393747;8037755
IGFL4;0.212672572;2.667306696;3.742592531;0.000319433;0.00212776;-0.171055973;8037750
IGFLR1;-0.01882066;3.763745176;-0.390141152;0.697348512;0.79906939;-6.559745175;8036136
IGFN1;-0.498394442;3.936278147;-4.805259507;6.10E-06;8.54E-05;3.564950315;7908650
IGHA1;0.408092894;9.818169872;1.388792017;0.168302917;0.297844474;-5.687018365;7981722
IGHG1;0.347934615;8.421706053;1.169533664;0.245258366;0.390862971;-5.960723172;7981718
IGHG4;0.32750866;6.628838597;1.077386189;0.284170016;0.433347641;-6.062180673;7981732
IGHMBP2;0.0407518;4.358106306;0.890219232;0.375707586;0.526841319;-6.243217533;7942073
IGHV1OR21-1;0.076946757;2.511881512;1.894844979;0.061304152;0.139440956;-4.886008677;8067822
IGHV7-81;0.000450837;2.464148211;0.009041203;0.992806154;0.995392126;-6.635285172;7981745
IGIP;-0.273451473;6.146753669;-3.402021395;0.000997507;0.005280953;-1.228169611;8108475
IGK;0.13332492;4.756739577;0.738973102;0.461834804;0.60722627;-6.364763899;8043360
IGKC;0.833396393;5.673975322;3.500597274;0.000722578;0.004091823;-0.929994835;8043480
IGKV1-5;0.4423456;6.846301683;1.338217414;0.184176714;0.317966374;-5.754157521;8043438
IGKV1D-13;0.282778367;4.387939617;2.121899724;0.03657732;0.09333133;-4.452468092;8043465
IGKV1D-8;0.078249305;2.997844301;0.656301124;0.513294939;0.65078224;-6.421777677;8043478
IGKV2-24;0.108164533;5.377444314;0.51978669;0.604480783;0.728632807;-6.501256266;8043443
IGKV2OR22-4;0.037643449;2.205254156;0.836380699;0.405142788;0.555342441;-6.28903158;8074210
IGKV3D-15;0.284678851;5.950424629;1.15773212;0.250018375;0.396015608;-5.97416833;8043449
IGLL1;-0.094324619;4.281929403;-1.514818709;0.133301737;0.24993751;-5.509372426;8074909
IGLL3P;-0.147619546;5.311658707;-2.249931488;0.026876378;0.073342865;-4.188483499;8072004
IGLL5;0.062125152;4.412111648;0.562167281;0.575391213;0.7039441;-6.47854265;8071597
IGLON5;-0.178164905;3.490753612;-2.222025167;0.028773479;0.077220561;-4.247203916;8030823
IGLV6-57;0.157712269;4.075332902;0.908193976;0.366186817;0.517472574;-6.227296806;8071642
IGSF1;-0.06371593;3.337741098;-1.27163098;0.206761106;0.345687518;-5.838900478;8175121
IGSF10;-0.361591421;2.885927593;-3.423917889;0.000929041;0.004998227;-1.162499143;8091537
